iter	MultiClass
0	2.237406497
1	2.121962004
2	2.033872725
3	1.962363718
4	1.906979524
5	1.857448813
6	1.822301909
7	1.792626801
8	1.765559346
9	1.73517008
10	1.70259804
11	1.680840888
12	1.658349816
13	1.632960939
14	1.6146511
15	1.597173317
16	1.579387363
17	1.567481668
18	1.553368758
19	1.534020329
20	1.516749282
21	1.505261794
22	1.493933411
23	1.481523683
24	1.471978957
25	1.463267672
26	1.451467806
27	1.442615913
28	1.429616013
29	1.421349292
30	1.411976813
31	1.401419675
32	1.39444456
33	1.3828266
34	1.374173081
35	1.365306478
36	1.355774715
37	1.339822733
38	1.331786467
39	1.32031333
40	1.312949994
41	1.30656578
42	1.299996323
43	1.292961198
44	1.286857215
45	1.283064808
46	1.276166403
47	1.265028952
48	1.256557277
49	1.249701099
50	1.243983522
51	1.238980703
52	1.235295827
53	1.227096191
54	1.222963617
55	1.218174624
56	1.211830778
57	1.206193055
58	1.199721661
59	1.194095091
60	1.189381759
61	1.186065826
62	1.179777148
63	1.173298401
64	1.169554857
65	1.162559569
66	1.156793845
67	1.151973666
68	1.148982888
69	1.146113839
70	1.140966852
71	1.136299231
72	1.131891961
73	1.125938105
74	1.123475856
75	1.118215624
76	1.112627824
77	1.107902616
78	1.100843111
79	1.096669101
80	1.090310768
81	1.083618219
82	1.079589027
83	1.075172251
84	1.07167881
85	1.063616287
86	1.060546796
87	1.054690465
88	1.05229923
89	1.047210668
90	1.042323864
91	1.039689368
92	1.035865643
93	1.029987873
94	1.026603978
95	1.022047736
96	1.019330826
97	1.016804111
98	1.012773862
99	1.006417486
100	1.003144136
101	0.9988065609
102	0.9924155846
103	0.9909374773
104	0.9878780577
105	0.9848536968
106	0.9788865945
107	0.9749002121
108	0.9729995078
109	0.9703435624
110	0.9691458479
111	0.9642645608
112	0.962255193
113	0.9603898344
114	0.9573857736
115	0.9551436607
116	0.9532549075
117	0.9498110301
118	0.9484831419
119	0.944425276
120	0.9399405397
121	0.9390218049
122	0.9378058288
123	0.9371052168
124	0.9342370009
125	0.9303083183
126	0.9289470618
127	0.9260567248
128	0.925397136
129	0.9228633713
130	0.9179784531
131	0.9153679365
132	0.9105557963
133	0.9100099196
134	0.9058588665
135	0.9029601105
136	0.9023265032
137	0.9018332342
138	0.8981066158
139	0.8971302848
140	0.894465345
141	0.8908123317
142	0.8894174672
143	0.8886495533
144	0.885722458
145	0.8828729706
146	0.8799993145
147	0.8748162318
148	0.8729665095
149	0.8716328934
150	0.8707533651
151	0.8693948187
152	0.8688666566
153	0.8663246352
154	0.865925558
155	0.8640480075
156	0.8613777238
157	0.8609513983
158	0.8559470659
159	0.8541545007
160	0.8538913926
161	0.8534385815
162	0.8522871493
163	0.85037909
164	0.8494211402
165	0.848140247
166	0.8470971376
167	0.845921877
168	0.845377612
169	0.8438471386
170	0.8405015763
171	0.8401873705
172	0.8343456644
173	0.833393956
174	0.8329048598
175	0.8296404049
176	0.8275540674
177	0.8256933272
178	0.8237585994
179	0.8191251631
180	0.8174661543
181	0.8148365923
182	0.8128177809
183	0.8124534742
184	0.808716041
185	0.8068287818
186	0.805370081
187	0.80127832
188	0.8008946078
189	0.7979408733
190	0.796442384
191	0.7937010819
192	0.7931163227
193	0.7891467024
194	0.7859831086
195	0.7835493395
196	0.7824230238
197	0.7794362076
198	0.7790961243
199	0.7782159373
200	0.7765800655
201	0.7734244657
202	0.7716645751
203	0.7684195439
204	0.7658573616
205	0.7643610672
206	0.7598918574
207	0.7582757876
208	0.7562871501
209	0.7554296193
210	0.7527125825
211	0.752011868
212	0.7497588423
213	0.7470994236
214	0.744636076
215	0.743043686
216	0.7401717578
217	0.7379892991
218	0.7344242487
219	0.7317813294
220	0.7297321727
221	0.7264888695
222	0.7237604346
223	0.7208569318
224	0.719778483
225	0.7193774392
226	0.7188400031
227	0.7170675139
228	0.7150636938
229	0.7136061985
230	0.7131952277
231	0.7113203896
232	0.7091364571
233	0.7085719657
234	0.7060314247
235	0.7042166185
236	0.7021832719
237	0.7010773693
238	0.698672136
239	0.6976650958
240	0.6964904774
241	0.6943228995
242	0.6935542338
243	0.6933094507
244	0.6931193137
245	0.6928273481
246	0.6916181888
247	0.6901692802
248	0.6891559592
249	0.6868778502
250	0.6866704342
251	0.6828305893
252	0.6819911138
253	0.6806457047
254	0.6796968326
255	0.6772932572
256	0.6771195242
257	0.6769373361
258	0.67672105
259	0.6764133162
260	0.6762200989
261	0.6756082079
262	0.6754287988
263	0.6742415744
264	0.6725437864
265	0.6709389672
266	0.6701157621
267	0.6699240275
268	0.6686360459
269	0.6684252543
270	0.6667819789
271	0.6660524716
272	0.665866884
273	0.663809809
274	0.6633098682
275	0.6616749994
276	0.6600115542
277	0.659089145
278	0.6579911784
279	0.6577765692
280	0.6552811993
281	0.6525467323
282	0.651277391
283	0.6489780832
284	0.6478210974
285	0.6468114898
286	0.6455805926
287	0.6433309312
288	0.6424002715
289	0.6410939643
290	0.6406796113
291	0.639122237
292	0.6371742315
293	0.6347899676
294	0.6333040233
295	0.632126134
296	0.6308582873
297	0.6285087639
298	0.6263409272
299	0.624349737
